Time,Orbital_Velocity,Altitude,Body,Apoapsis,Periapsis
0.0,0.0,92.01,Kerbin,92.01,0.0
1.0,-1.93617951328906,92.01,Kerbin,92.01,0.0
2.02,-3.5097937394965153,92.01,Kerbin,92.01,0.0
3.02,-4.725926852898295,92.01,Kerbin,92.01,0.0
4.04,-5.5896630277703325,92.01,Kerbin,92.01,0.0
5.06,-6.106086438388554,92.01,Kerbin,92.01,0.0
6.07,-6.280281259028895,92.01,Kerbin,92.01,0.0
7.08,-6.117331663967282,92.98,Kerbin,93.42,0.0
8.1,-5.622321827479649,98.43,Kerbin,101.55,0.0
9.11,-4.800335923841917,109.07,Kerbin,117.57,0.0
10.12,-3.656458127330027,124.95,Kerbin,141.68,0.0
11.15,-2.195772612219912,146.18,Kerbin,174.15,0.0
12.17,-0.42336355278749105,172.86,Kerbin,215.27,0.0
13.18,1.6556848766913015,204.43,Kerbin,264.27,0.0
14.2,4.036288501940529,242.24,Kerbin,323.41,0.0
15.21,6.713363148684275,284.95,Kerbin,392.13,0.0
16.25,9.681824642646584,335.38,Kerbin,472.41,0.0
17.28,12.936588809551552,392.08,Kerbin,563.35,0.0
18.31,16.472571475123246,455.18,Kerbin,665.33,0.0
19.35,20.284688465085722,524.81,Kerbin,778.76,0.0
20.4,24.36785560516305,602.64,Kerbin,904.03,0.0
21.43,28.716988721079296,684.19,Kerbin,1038.8,0.0
22.46,33.32700363855855,772.42,Kerbin,1185.78,0.0
23.5,38.19281618332488,869.38,Kerbin,1351.89,0.0
24.55,43.30934218110232,973.49,Kerbin,1523.72,0.0
25.56,48.67149745761499,1080.37,Kerbin,1703.96,0.0
26.56,54.27419783858693,1196.2,Kerbin,1903.26,0.0
27.62,60.11235914974221,1321.43,Kerbin,2115.12,0.0
28.66,66.1808972168049,1456.47,Kerbin,2342.07,0.0
29.72,72.47472786549908,1598.76,Kerbin,2575.12,0.0
30.74,78.9887669215488,1739.5,Kerbin,2808.41,0.0
31.74,85.71793021067818,1889.53,Kerbin,3059.23,0.0
32.8,92.6571335586112,2048.88,Kerbin,3319.58,0.0
33.84,99.801292791072,2218.08,Kerbin,3595.32,0.0
34.9,107.14532373378465,2390.12,Kerbin,3851.69,0.0
35.91,114.68414221247318,2563.18,Kerbin,4091.35,0.0
36.95,122.41266405286167,2743.35,Kerbin,4341.13,0.0
37.99,130.32580508067426,2923.32,Kerbin,4581.39,0.0
39.03,138.4184811216349,3113.44,Kerbin,4824.04,0.0
40.07,146.6857398465586,3302.58,Kerbin,5064.33,0.0
41.13,155.12515959776294,3494.03,Kerbin,5298.0,0.0
42.17,163.73659851967074,3691.24,Kerbin,5540.69,0.0
43.22,172.51999625643668,3887.45,Kerbin,5803.15,0.0
44.27,181.47529245221554,4090.88,Kerbin,6081.46,0.0
45.33,190.6024267511619,4290.24,Kerbin,6357.08,0.0
46.34,199.9013387974305,4493.68,Kerbin,6657.97,0.0
47.34,209.37196823517613,4697.62,Kerbin,6967.32,0.0
48.35,219.01425470855332,4906.17,Kerbin,7286.18,0.0
49.35,228.82813786171687,5123.76,Kerbin,7623.7,0.0
50.37,238.8135573388215,5342.1,Kerbin,7970.64,0.0
51.37,248.97045278402177,5570.29,Kerbin,8341.94,0.0
52.39,259.2987638414725,5804.31,Kerbin,8730.47,0.0
53.41,269.79843015532833,6044.45,Kerbin,9137.5,0.0
54.43,280.46939136974396,6291.02,Kerbin,9565.32,0.0
55.45,291.3115871288741,6534.32,Kerbin,9997.62,0.0
56.45,302.32495707687343,6794.54,Kerbin,10470.61,0.0
57.47,313.50944085789655,7062.21,Kerbin,10967.66,0.0
58.49,324.8649781160984,7332.17,Kerbin,11479.35,0.0
59.5,336.3916906628841,7615.53,Kerbin,12028.25,0.0
60.51,348.1027183613699,7907.29,Kerbin,12606.41,0.0
61.54,360.0326811256847,8195.84,Kerbin,13190.93,0.0
62.55,372.21820765050694,8486.61,Kerbin,13792.6,0.0
63.55,384.6959266305152,8798.34,Kerbin,14451.56,0.0
64.57,397.5024667603878,9119.38,Kerbin,15144.42,0.0
65.58,410.67445673480364,9456.72,Kerbin,15886.79,0.0
66.6,424.2485252484411,9804.3,Kerbin,16666.11,0.0
67.61,438.2613009959786,10162.37,Kerbin,17483.14,0.0
68.63,452.74941267209505,10523.8,Kerbin,18321.69,0.0
69.64,467.7494889714688,10903.25,Kerbin,19217.06,0.0
70.65,483.29815858877805,11286.04,Kerbin,20135.9,0.0
71.66,499.4320502187019,11687.69,Kerbin,21116.86,0.0
72.67,516.1877925559187,12092.64,Kerbin,22124.84,0.0
73.68,533.6020142951066,12508.89,Kerbin,23181.5,0.0
74.69,551.711344130945,12945.35,Kerbin,24312.76,0.0
75.71,570.5524107581117,13385.14,Kerbin,25477.91,0.0
76.71,590.1618428712853,13846.14,Kerbin,26727.82,0.0
77.72,610.5762691651449,14310.54,Kerbin,28018.09,0.0
78.73,631.832304972074,14787.56,Kerbin,29377.49,0.0
79.73,653.9337428177678,15287.44,Kerbin,30840.58,0.0
80.74,676.7809443856577,15790.9,Kerbin,32355.66,0.0
